Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
30/01/2018,BERE ALSTON PRIM-CP0685610GBP,AMAZON SVCS EU-UK AMAZON.,28.24,0,Books and Periodicals,Book stores
19/02/2018,BERE ALSTON PRIM-CP0685610GBP,AMAZON EU AMAZON.CO.UK,5.25,0,General Retail and Wholesale,Miscellaneous retail
27/01/2018,CHUDLEIGH-CP0685924GBP,Amazon UK Retail,25.78,0,Mail Order / Direct Selling,Direct sales companies
30/01/2018,CHUDLEIGH-CP0685924GBP,AMAZON SVCS EU-UK AMAZON.,110.43,0,Books and Periodicals,Book stores
31/01/2018,CHUDLEIGH-CP0685924GBP,AMAZON SVCS EU-UK AMAZON.,14.7,0,Books and Periodicals,Book stores
31/01/2018,CHUDLEIGH-CP0685924GBP,AMAZON EU AMAZON.CO.UK,20,0,General Retail and Wholesale,Miscellaneous retail
02/02/2018,CHUDLEIGH-CP0685924GBP,CO-OP GROUP 160645,4.24,0,General Retail and Wholesale,Grocery stores
03/02/2018,CHUDLEIGH-CP0685924GBP,WH SMITH,12.95,0,Books and Periodicals,Newspapers / newsagents
04/02/2018,CHUDLEIGH-CP0685924GBP,"Amazon Svcs Europe,SAR",24.95,0,Books and Periodicals,Book stores
04/02/2018,CHUDLEIGH-CP0685924GBP,SERENATA FLOWERS,19.99,0,Estate and Garden Services,Florists
04/02/2018,CHUDLEIGH-CP0685924GBP,SERENATA FLOWERS,19.99,0,Estate and Garden Services,Florists
04/02/2018,CHUDLEIGH-CP0685924GBP,SERENATA FLOWERS,22.98,0,Estate and Garden Services,Florists
05/02/2018,CHUDLEIGH-CP0685924GBP,TRAGO MILLS,30,0,Automotive Fuel,Service stations
05/02/2018,CHUDLEIGH-CP0685924GBP,ASDA HOME SHOPPING,47.61,0,General Retail and Wholesale,Grocery stores
05/02/2018,CHUDLEIGH-CP0685924GBP,WWW.DSMEDICAL.CO.U,200.7,0,Medical Supplies and Services,Medical & health services
06/02/2018,CHUDLEIGH-CP0685924GBP,CO-OP GROUP PETROL,6.65,0,Automotive Fuel,Service stations
19/02/2018,CHUDLEIGH-CP0685924GBP,TRAGO MILLS,40.02,0,Automotive Fuel,Service stations
20/02/2018,CHUDLEIGH-CP0685924GBP,EDGY PRODUCTIONS LTD,90.35,0,Books and Periodicals,Book stores
24/01/2018,COUNTESS WEAR PRI-CP0681219GBP,COFFEE SUPPLIES DIRECT,185,0,Catering and Catering Supplies,Misc Food stores
29/01/2018,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,143.81,0,General Retail and Wholesale,Grocery stores
05/02/2018,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,114.5,0,General Retail and Wholesale,Grocery stores
19/02/2018,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,123.68,0,General Retail and Wholesale,Grocery stores
23/01/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,44.97,0,Books and Periodicals,Book stores
24/01/2018,D C C WESTCROFT JUNIOR SCHOOL,THE BOOK PEOPLE,76.68,0,Books and Periodicals,Book stores
25/01/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,25.48,0,Books and Periodicals,Book stores
25/01/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,4.84,0,Books and Periodicals,Book stores
26/01/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,-4.84,0,Books and Periodicals,Book stores
26/01/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,21.54,0,General Retail and Wholesale,Miscellaneous retail
29/01/2018,D C C WESTCROFT JUNIOR SCHOOL,EDUBLOGS/CAMPUSPRESS,29.32,0,Computer Equipment & Services,"Programming, data processing & system design"
30/01/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,16.95,0,Books and Periodicals,Book stores
31/01/2018,D C C WESTCROFT JUNIOR SCHOOL,HIGHSPEEDTRAINING.CO.U,84,0,Training and Educational,Business/secretarial school
02/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,28.74,0,General Retail and Wholesale,Miscellaneous retail
02/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Retail,20.97,0,Mail Order / Direct Selling,Direct sales companies
09/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,12.99,0,Books and Periodicals,Book stores
19/02/2018,D C C WESTCROFT JUNIOR SCHOOL,WWW.UKPOS.COM,557.04,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
19/02/2018,D C C WESTCROFT JUNIOR SCHOOL,DVLA VEHICLE TAX,242.5,0,Statutory Bodies,Government services
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,63.9,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,14.39,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,12.45,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,5.97,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,49.74,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,6.86,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,7.69,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,10.73,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,8.49,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,3.35,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,10.17,0,Books and Periodicals,Book stores
20/02/2018,D C C WESTCROFT JUNIOR SCHOOL,WWW.NISBETS.COM,15.64,0,Mail Order / Direct Selling,Catalogue sales
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,64.08,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,33,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,9.98,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,10.98,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,9.49,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,3,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,9.74,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,Amazon UK Marketplace,5.56,0,Books and Periodicals,Book stores
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,202.17,0,General Retail and Wholesale,Miscellaneous retail
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,266.31,0,General Retail and Wholesale,Miscellaneous retail
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,49.41,0,General Retail and Wholesale,Miscellaneous retail
21/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON EU AMAZON.CO.UK,49.41,0,General Retail and Wholesale,Miscellaneous retail
22/02/2018,D C C WESTCROFT JUNIOR SCHOOL,AMAZON SVCS EU-UK AMAZON.,49.94,0,Books and Periodicals,Book stores
25/01/2018,DCC - AXE BEACON-CP0697835GBP,WWW.HEALTHANDCARE.CO.U,27.99,0,Medical Supplies and Services,"Laboratory, medical & hospital equipment"
28/01/2018,DCC - AXE BEACON-CP0697835GBP,EB  BAR MODELLING DEEP,750.96,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
29/01/2018,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,19.03,0,Books and Periodicals,Book stores
29/01/2018,DCC - AXE BEACON-CP0697835GBP,EDGY PRODUCTIONS LTD,97.2,0,Books and Periodicals,Book stores
30/01/2018,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,12.78,0,Books and Periodicals,Book stores
30/01/2018,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,108.46,0,Books and Periodicals,Book stores
30/01/2018,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,2.99,0,Books and Periodicals,Book stores
30/01/2018,DCC - AXE BEACON-CP0697835GBP,Amazon UK Marketplace,12.78,0,Books and Periodicals,Book stores
25/01/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  XUEYING JIN,3.29,0,General Retail and Wholesale,Misc. clothing & accessory shops
26/01/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  NXTDAYCOFFE,55.91,0,Catering and Catering Supplies,Misc Food stores
26/01/2018,DCC - DAWLISH CC-CP0689084GBP,HEADWAY - THE BRAIN INJUR,42.9,0,Clubs/Associations/Organisations,Charitable organisations
26/01/2018,DCC - DAWLISH CC-CP0689084GBP,ANIMALS IN DISTRESS,89.02,0,Computer Equipment & Services,Computer software stores
29/01/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  PAPERBOXLTD,40.3,0,General Retail and Wholesale,Art & craft shops
29/01/2018,DCC - DAWLISH CC-CP0689084GBP,TESCO STORE 2487,73.19,0,General Retail and Wholesale,Grocery stores
29/01/2018,DCC - DAWLISH CC-CP0689084GBP,WWW.NISBETS.COM,97.17,0,Mail Order / Direct Selling,Catalogue sales
29/01/2018,DCC - DAWLISH CC-CP0689084GBP,HOSPISCARE,88.02,0,Professional Services,Misc. personal services
30/01/2018,DCC - DAWLISH CC-CP0689084GBP,AMAZON SVCS EU-UK AMAZON.,40.5,0,Books and Periodicals,Book stores
30/01/2018,DCC - DAWLISH CC-CP0689084GBP,AMAZON SVCS EU-UK AMAZON.,35.9,0,Books and Periodicals,Book stores
30/01/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  THOMANN,462.33,0,General Retail and Wholesale,Music stores & instruments
30/01/2018,DCC - DAWLISH CC-CP0689084GBP,WWW.SIGNGEER.COM,46.38,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
30/01/2018,DCC - DAWLISH CC-CP0689084GBP,VESTA VODAFONE,31.4,0,Telecommunication Services,Phone services
31/01/2018,DCC - DAWLISH CC-CP0689084GBP,Amazon UK Retail,7.98,0,Mail Order / Direct Selling,Direct sales companies
01/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  HONGKONGFEN,4.98,0,General Retail and Wholesale,Variety stores
01/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  LAPTOPPARTS,143.94,0,General Retail and Wholesale,Electronics shops
01/02/2018,DCC - DAWLISH CC-CP0689084GBP,AMF BOWLING,60.9,0,Leisure Activities,"Member clubs, sport, recreation & golf"
01/02/2018,DCC - DAWLISH CC-CP0689084GBP,EB  NEA-TOGETHER 3 MOD,15,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
02/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  EBUYER UK,63.35,0,General Retail and Wholesale,Electronics shops
02/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  NEWITTS COM,25.87,0,General Retail and Wholesale,Sporting goods shops
05/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  WHSMITHHIGH,100,0,Books and Periodicals,Book stores
05/02/2018,DCC - DAWLISH CC-CP0689084GBP,GIFTVOUCHERSHOP.CO.UK,80.99,0,General Retail and Wholesale,"Gift, card & novelty shops"
05/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  HONGKONGFEN,4.16,0,General Retail and Wholesale,Variety stores
05/02/2018,DCC - DAWLISH CC-CP0689084GBP,TESCO STORE 2487,69.02,0,General Retail and Wholesale,Grocery stores
05/02/2018,DCC - DAWLISH CC-CP0689084GBP,EB  NEA-TOGETHER 3 MOD,15,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
06/02/2018,DCC - DAWLISH CC-CP0689084GBP,Amazon UK Marketplace,2.17,0,Books and Periodicals,Book stores
06/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  REVIVALBOOK,13.64,0,Books and Periodicals,Book stores
06/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  FORTHELOVEO,12.99,0,General Retail and Wholesale,Miscellaneous retail
06/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  MATALANRETA,34.45,0,General Retail and Wholesale,Womens clothes shops
06/02/2018,DCC - DAWLISH CC-CP0689084GBP,PAYPAL  MMGUERNSEYL,12.98,0,General Retail and Wholesale,Miscellaneous retail
07/02/2018,DCC - DAWLISH CC-CP0689084GBP,AMAZON SVCS EU-UK AMAZON.,14.02,0,Books and Periodicals,Book stores
07/02/2018,DCC - DAWLISH CC-CP0689084GBP,Amazon UK Marketplace,2.99,0,Books and Periodicals,Book stores
08/02/2018,DCC - DAWLISH CC-CP0689084GBP,WWW.TES.COM,35,0,Training and Educational,Colleges & universities
19/02/2018,DCC - DAWLISH CC-CP0689084GBP,TESCO STORE 2487,78.79,0,General Retail and Wholesale,Grocery stores
19/02/2018,DCC - DAWLISH CC-CP0689084GBP,TVLICENSING.CO.UK,147,0,Professional Services,Consultants & public relation services
20/02/2018,DCC - DAWLISH CC-CP0689084GBP,SAINSBURYS S/MKTS,29.25,0,General Retail and Wholesale,Grocery stores
20/02/2018,DCC - DAWLISH CC-CP0689084GBP,WWW.THOMANN.DE,332.35,0,General Retail and Wholesale,Music stores & instruments
20/02/2018,DCC - DAWLISH CC-CP0689084GBP,WWW.PARAGON.NET.UK RT,222.72,0,Mail Order / Direct Selling,Continuous subscriptions
20/02/2018,DCC - DAWLISH CC-CP0689084GBP,BOOTS 0492,11,0,Medical Supplies and Services,Chemists & pharmacies
21/02/2018,DCC - DAWLISH CC-CP0689084GBP,TESCO STORE 2487,198.56,0,General Retail and Wholesale,Grocery stores
29/01/2018,DCC - DENBURY PRI-CP0697771GBP,Amazon UK Retail,10.99,0,Mail Order / Direct Selling,Direct sales companies
29/01/2018,DCC - DENBURY PRI-CP0697771GBP,Amazon UK Retail,55,0,Mail Order / Direct Selling,Direct sales companies
22/02/2018,DCC - DENBURY PRI-CP0697771GBP,Amazon UK Marketplace,27.7,0,Books and Periodicals,Book stores
06/02/2018,DCC  EMERGENCY DU-CP0689083GBP,JURYS INN EXETER FRONT DE,129,0,Hotels and Accommodation,"Hotels, motels & resorts"
15/02/2018,DCC  EMERGENCY DU-CP0689083GBP,PREMIER INN 44536540,86.99,0,Hotels and Accommodation,Premier Inn
21/02/2018,DCC  EMERGENCY DU-CP0689083GBP,PREMIER INN44019130,234.96,0,Hotels and Accommodation,Premier Inn
07/02/2018,DCC - EXETER LEARNING DIS,Amazon UK Retail,13.97,0,Mail Order / Direct Selling,Direct sales companies
21/02/2018,DCC - EXETER LEARNING DIS,Amazon UK Marketplace,238.8,0,Books and Periodicals,Book stores
29/01/2018,DCC - LANDSCORE PRIMARY SCH,PARCEL2GO.COM LTD,10.99,0,Mail and Courier Services,Courier services / freight forwarders
01/02/2018,DCC - LANDSCORE PRIMARY SCH,Amazon UK Retail,36.97,0,Mail Order / Direct Selling,Direct sales companies
09/02/2018,DCC - LANDSCORE PRIMARY SCH,Amazon UK Marketplace,3.75,0,Books and Periodicals,Book stores
13/02/2018,DCC - LANDSCORE PRIMARY SCH,Amazon UK Marketplace,1.53,0,Books and Periodicals,Book stores
20/02/2018,DCC - LANDSCORE PRIMARY SCH,MILK & MORE OFFLINE,5.18,0,Catering and Catering Supplies,Misc Food stores
31/01/2018,DCC - SIDMOUTH CO-CP0697845GBP,FACEBK D5VF6F27X2,31.33,0,Print and Advertising,Advertising services
01/02/2018,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  TECHCOMPONT,-3.89,0,General Retail and Wholesale,Department stores
29/01/2018,DCC - ST ANDREWS-CP0687779GBP,Amazon UK Marketplace,5.99,0,Books and Periodicals,Book stores
29/01/2018,DCC - ST ANDREWS-CP0687779GBP,ASDA HOME SHOPPING,45.75,0,General Retail and Wholesale,Grocery stores
31/01/2018,DCC - ST ANDREWS-CP0687779GBP,NSPCC PUBLICATIONS,1,0,Clubs/Associations/Organisations,Charitable organisations
01/02/2018,DCC - ST ANDREWS-CP0687779GBP,AMAZON SVCS EU-UK AMAZON.,1.99,0,Books and Periodicals,Book stores
01/02/2018,DCC - ST ANDREWS-CP0687779GBP,AMAZON SVCS EU-UK AMAZON.,2.85,0,Books and Periodicals,Book stores
02/02/2018,DCC - ST ANDREWS-CP0687779GBP,AMAZON SVCS EU-UK AMAZON.,1.68,0,Books and Periodicals,Book stores
05/02/2018,DCC - ST ANDREWS-CP0687779GBP,Amazon UK Marketplace,3.2,0,Books and Periodicals,Book stores
05/02/2018,DCC - ST ANDREWS-CP0687779GBP,ASDA HOME SHOPPING,45.53,0,General Retail and Wholesale,Grocery stores
14/02/2018,DCC - ST ANDREWS-CP0687779GBP,RYANAIR     22400000WTDPT,262.71,0,Travel - Air/Rail/Road,Ryanair
19/02/2018,DCC - ST ANDREWS-CP0687779GBP,ASDA HOME SHOPPING,43.83,0,General Retail and Wholesale,Grocery stores
20/02/2018,DCC - ST ANDREWS-CP0687779GBP,Amazon UK Marketplace,15.8,0,Books and Periodicals,Book stores
24/01/2018,DCC  STOKENHAM PR-CP0689085GBP,WWW.VENESTA.CO.UK,156.35,0,General Retail and Wholesale,Furniture & home furnishing
20/02/2018,DCC  STOKENHAM PR-CP0689085GBP,COMIC RELIEF SHOP,96,0,Clubs/Associations/Organisations,Charitable organisations
21/02/2018,DCC  STOKENHAM PR-CP0689085GBP,Amazon UK Marketplace,9.99,0,Books and Periodicals,Book stores
21/02/2018,DCC  STOKENHAM PR-CP0689085GBP,AMAZON EU AMAZON.CO.UK,63.02,0,General Retail and Wholesale,Miscellaneous retail
21/02/2018,DCC  STOKENHAM PR-CP0689085GBP,Amazon UK Retail,18.95,0,Mail Order / Direct Selling,Direct sales companies
22/01/2018,DCC - TOTNES DIST-CP0666223GBP,THE GREAT WESTERN HOTEL,140,0,Hotels and Accommodation,"Hotels, motels & resorts"
23/01/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,18.5,0,Statutory Bodies,Government services
24/01/2018,DCC - TOTNES DIST-CP0666223GBP,THE GREAT WESTERN HOTEL,70,0,Hotels and Accommodation,"Hotels, motels & resorts"
29/01/2018,DCC - TOTNES DIST-CP0666223GBP,THE GREAT WESTERN HOTEL,55,0,Hotels and Accommodation,"Hotels, motels & resorts"
29/01/2018,DCC - TOTNES DIST-CP0666223GBP,RAINBOW INTERNATIONAL HOT,30,0,Hotels and Accommodation,"Hotels, motels & resorts"
30/01/2018,DCC - TOTNES DIST-CP0666223GBP,TVLICENSING.CO.UK,147,0,Professional Services,Consultants & public relation services
31/01/2018,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,13.05,0,Travel - Air/Rail/Road,Passenger railways
31/01/2018,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,27.15,0,Travel - Air/Rail/Road,Passenger railways
02/02/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,9.25,0,Statutory Bodies,Government services
02/02/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,18.5,0,Statutory Bodies,Government services
02/02/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,27.75,0,Statutory Bodies,Government services
07/02/2018,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,13.05,0,Travel - Air/Rail/Road,Passenger railways
13/02/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,97.95,0,Statutory Bodies,Government services
13/02/2018,DCC - TOTNES DIST-CP0666223GBP,GRO HM PASSPORT OFFICE,-9.25,0,Statutory Bodies,Government services
13/02/2018,DCC - TOTNES DIST-CP0666223GBP,TRAINLINE,13.05,0,Travel - Air/Rail/Road,Passenger railways
19/02/2018,DCC - TOTNES DIST-CP0666223GBP,TVLICENSING.CO.UK,147,0,Professional Services,Consultants & public relation services
