Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
12/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),CABLING4LESS,-31.68,Building Materials,Electrical parts & equipment
20/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),TVLICENSING.CO.UK,145.50,Professional Services,Consultants & public relation services
21/03/2014,DCC - ST JOHNS PRIMARY SCHOOL (00379922),Amazon  Mktplce EU-UK,26.00,Books and Periodicals,Book stores
21/03/2014,DCC BUCKLAND BREWER SCH (00447141),Amazon  Mktplce EU-UK,16.27,Books and Periodicals,Book stores
21/03/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,10.97,Books and Periodicals,Book stores
21/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,24.59,Books and Periodicals,Book stores
21/03/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),SPORTRELIEF MILE,15.00,Clubs/Associations/Organisations,Charitable organisations
21/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon EU,5.03,Mail Order / Direct Selling,Direct sales companies
21/03/2014,DCC COURT OF PROTECT-C 0509893 (00509893),J HOLT & SON,309.00,General Retail and Wholesale,Furniture & home furnishing
21/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),M&S E COMMERCE,70.00,General Retail and Wholesale,Grocery stores
21/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,1.78,General Retail and Wholesale,Grocery stores
21/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,50.00,General Retail and Wholesale,Grocery stores
21/03/2014,DCC CDPLS - C (00451587),WWW.CGPBOOKS.CO.UK,4.00,General Retail and Wholesale,Miscellaneous retail
21/03/2014,DCC SPRINGFIELD CTR-C-0517180 (00517180),INKJETS & TONERS,9.36,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
21/03/2014,DCC CHARLTON LODGE C0554043 (00554043),UK POINT OF SALE GROUP,54.60,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
22/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,-12.80,Books and Periodicals,Book stores
22/03/2014,DCC CHARLTON LODGE C0554043 (00554043),ARGOS DIRECT,128.93,Mail Order / Direct Selling,Catalogue sales
22/03/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,14.89,Mail Order / Direct Selling,Direct sales companies
22/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon EU,94.31,Mail Order / Direct Selling,Direct sales companies
22/03/2014,DCC - ST JOHNS PRIMARY SCHOOL (00379922),HEATHCOAT FABRICS LTD,10.57,General Retail and Wholesale,Drapery & upholstery shops
23/03/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,29.94,General Retail and Wholesale,Grocery stores
23/03/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,23.17,General Retail and Wholesale,Grocery stores
23/03/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,3.36,General Retail and Wholesale,Grocery stores
23/03/2014,DCC WHITCHURCH - C 0559309 (00559309),TESCO STORE 3031,75.55,General Retail and Wholesale,Grocery stores
23/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5663,23.78,General Retail and Wholesale,Grocery stores
23/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,24.10,General Retail and Wholesale,Grocery stores
23/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,22.09,General Retail and Wholesale,Grocery stores
24/03/2014,D C C - BIDEFORD COLLEGE (00247481),THE ULTIMATE ADVENTURE,50.00,Leisure Activities,Amusement parks & circuses
24/03/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,80.00,Travel - Air/Rail/Road,"Buses, charter & tour"
24/03/2014,D C C - BIDEFORD COLLEGE (00247481),WHSMITH.CO.UK,727.87,General Retail and Wholesale,Catalogue & retail shops
24/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),RAKUTEN PLAY.COM,28.81,Mail Order / Direct Selling,Catalogue sales
24/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),RAKUTEN PLAY.COM,28.81,Mail Order / Direct Selling,Catalogue sales
24/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,89.37,General Retail and Wholesale,Grocery stores
24/03/2014,DCC CDPLS - C (00451587),JS ONLINE GROCERY,117.90,General Retail and Wholesale,Grocery stores
24/03/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,68.62,General Retail and Wholesale,Grocery stores
24/03/2014,DCC - ST JOHNS PRIMARY SCHOOL (00379922),TESCO STORES 5138,34.00,General Retail and Wholesale,Grocery stores
24/03/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,5.00,General Retail and Wholesale,Grocery stores
24/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TOOLSTATION LTD,47.74,General Retail and Wholesale,Hardware stores
24/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TOOLSTATION LTD,262.00,General Retail and Wholesale,Hardware stores
25/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,11.86,Books and Periodicals,Book stores
25/03/2014,D C C - BIDEFORD COLLEGE (00247481),TVLICENSING.CO.UK,145.50,Professional Services,Consultants & public relation services
25/03/2014,DCC CHARLTON LODGE C0554043 (00554043),ARGOS RETAIL GROUP,133.94,General Retail and Wholesale,Discount stores
25/03/2014,D C C - BIDEFORD COLLEGE (00247481),DUTCHWEST(PHILIPS),51.96,General Retail and Wholesale,Electronics shops
25/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,83.96,General Retail and Wholesale,Grocery stores
25/03/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,9.75,General Retail and Wholesale,Grocery stores
25/03/2014,DCC CHARLTON LODGE C0554043 (00554043),WM MORRISONS,6.94,General Retail and Wholesale,Grocery stores
25/03/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),HOMEBASE LTD 226,18.00,Building Materials,Timber & building supplies
26/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,-24.99,Books and Periodicals,Book stores
26/03/2014,DCC-SWIMBRIDGE PRIMARY SCHOOL (00246817),WWW.UKDIGITALCAMERAS.C,334.00,General Retail and Wholesale,Camera & photographic supply shop
26/03/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),WWW.VIDAHOST.COM,16.40,Mail Order / Direct Selling,Continuous subscriptions
26/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),BAGPRESS,117.54,General Retail and Wholesale,Furniture & home furnishing
26/03/2014,DEVON COUNTY COUNCIL-EXEBANK (00354462),TESCO STORE 2490,46.76,General Retail and Wholesale,Grocery stores
26/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),999INKS.COM,39.25,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
26/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),ASCENT HUEHD,399.00,Computer Equipment & Services,"Programming, data processing & system design"
26/03/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),SOLOPRESS.COM V/TERMINAL,210.00,Print and Advertising,Publishing & printing services
26/03/2014,DCC - ARTHUR ROBERTS HOUSE - C (00379921),ESEDIRECT.CO.UK,23.22,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
27/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),WWW.CREALY.CO.UK,108.48,Leisure Activities,Amusement parks & circuses
27/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),ARGOS DIRECT,-263.97,Mail Order / Direct Selling,Catalogue sales
27/03/2014,DCC - ST JOHNS PRIMARY SCHOOL (00379922),TSL CLOTHING,42.50,General Retail and Wholesale,Family clothing shops
27/03/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,35.98,General Retail and Wholesale,Grocery stores
27/03/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,3.75,General Retail and Wholesale,Grocery stores
27/03/2014,DCC-HALDON VIEW-0485401 (00485401),TOOLSTATION LTD,57.86,General Retail and Wholesale,Hardware stores
27/03/2014,DCC-HALDON VIEW-0485401 (00485401),STAPLES UK,43.31,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
27/03/2014,DCC COURT OF PROTECT-C 0509893 (00509893),LOWCOSTHOLIDAYS.COM,"1,709.70",Travel - Air/Rail/Road,Travel agencies
28/03/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),MORRISONS PETROL,20.07,Automotive Fuel,Automated fuel dispensers
28/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,57.93,Books and Periodicals,Book stores
28/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK PEOPLE,60.32,Books and Periodicals,Book stores
28/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),ZIG ZAG EDUCATION,52.70,Books and Periodicals,Book stores
28/03/2014,DCC CHARLTON LODGE C0554043 (00554043),BOOTS 0309,11.96,Medical Supplies and Services,Chemists & pharmacies
28/03/2014,DCC COURT OF PROTECT-C 0509893 (00509893),Amazon EU,22.90,Mail Order / Direct Selling,Direct sales companies
28/03/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,25.15,Mail Order / Direct Selling,Direct sales companies
28/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon EU,43.02,Mail Order / Direct Selling,Direct sales companies
28/03/2014,DCC CHARLTON LODGE C0554043 (00554043),ARGOS LTD,211.36,General Retail and Wholesale,Discount stores
28/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,37.96,General Retail and Wholesale,Grocery stores
28/03/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,91.62,General Retail and Wholesale,Grocery stores
28/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),APPLE ITUNES STORE-GBP,2.99,General Retail and Wholesale,Record shops
28/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),W M MORRISON,1.88,Automotive Fuel,Service stations
29/03/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,11.18,Mail Order / Direct Selling,Direct sales companies
29/03/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORES-2083,7.00,General Retail and Wholesale,Grocery stores
30/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),CO-OP GROUP 380548,8.70,General Retail and Wholesale,Grocery stores
30/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),CO-OP GROUP 380548,9.12,General Retail and Wholesale,Grocery stores
30/03/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),TESCO STORES 5138,4.58,General Retail and Wholesale,Grocery stores
30/03/2014,DCC-OUR SCH. FED-0467699 (00467699),FGW TICKET OFFICE,476.50,Travel - Air/Rail/Road,Passenger railways
31/03/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon EU,35.64,Mail Order / Direct Selling,Direct sales companies
31/03/2014,DCC COURT OF PROTECT-C 0509893 (00509893),PRESTIGE FURNITURE,448.00,General Retail and Wholesale,Furniture & home furnishing
31/03/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,76.66,General Retail and Wholesale,Grocery stores
31/03/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,55.04,General Retail and Wholesale,Grocery stores
31/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORE 3539,-4.50,General Retail and Wholesale,Grocery stores
31/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,50.74,General Retail and Wholesale,Grocery stores
31/03/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,5.25,General Retail and Wholesale,Grocery stores
31/03/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,15.13,General Retail and Wholesale,Grocery stores
31/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,76.85,General Retail and Wholesale,Grocery stores
31/03/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,52.99,General Retail and Wholesale,Grocery stores
31/03/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO STORES-6106,5.06,General Retail and Wholesale,Grocery stores
01/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,20.15,Books and Periodicals,Book stores
01/04/2014,D C C - BIDEFORD COLLEGE (00247481),SHOPPINGTRO,90.00,Miscellaneous Industrial/Commercial Supplies,Chemical products
01/04/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,38.96,Mail Order / Direct Selling,Direct sales companies
01/04/2014,D C C - BIDEFORD COLLEGE (00247481),ARGOS RETAIL GROUP,223.99,General Retail and Wholesale,Discount stores
01/04/2014,DCC WHITCHURCH - C 0559309 (00559309),CLINTON CARDS,11.49,General Retail and Wholesale,"Gift, card & novelty shops"
01/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,-2.36,General Retail and Wholesale,Grocery stores
01/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,64.49,General Retail and Wholesale,Grocery stores
01/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,4.48,General Retail and Wholesale,Grocery stores
01/04/2014,DCC WHITCHURCH - C 0559309 (00559309),WM MORRISONS,29.15,General Retail and Wholesale,Grocery stores
01/04/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),CABINN ASESBJERG,617.84,Hotels and Accommodation,"Hotels, motels & resorts"
01/04/2014,DCC WHITCHURCH - C 0559309 (00559309),ENDSLEIGH GARDEN,20.90,Estate and Garden Services,Lawn & garden supply/nursery
01/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.DM-TOOLS.CO.UK,189.95,Building Materials,Timber & building supplies
02/04/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,6.21,Books and Periodicals,Book stores
02/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,10.99,Books and Periodicals,Book stores
02/04/2014,DCC STOKE CANON PRI 0478811 (00478811),Amazon  Mktplce EU-UK,21.97,Books and Periodicals,Book stores
02/04/2014,DCC - LANDSCORE PRIMARY SCH (00313502),EASYJET     000EMJNQL3,"1,808.44",Travel - Air/Rail/Road,Easyjet
02/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,20.65,General Retail and Wholesale,Grocery stores
02/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,59.34,General Retail and Wholesale,Grocery stores
02/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,7.50,General Retail and Wholesale,Grocery stores
02/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),J P BODEN,160.00,General Retail and Wholesale,Men & womens clothing shops
02/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.MAGICWHITEBAORD.CO.U,12.93,"Office Stationery, Equipment and Supplies",Stationery & office supplies
02/04/2014,DCC-OUR SCH. FED-0467699 (00467699),WWW.POOLCOVERSDIRECT.C,86.90,General Retail and Wholesale,"Swimming pools, sales & service"
02/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),TOBACCO FACTORY THEATRE,522.00,Leisure Activities,Theatres and ticket agencies
03/04/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,46.50,Books and Periodicals,Book stores
03/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,5.12,Books and Periodicals,Book stores
03/04/2014,D C C - BIDEFORD COLLEGE (00247481),PAYPAL  DEVALDI,92.36,Computer Equipment & Services,Computer software stores
03/04/2014,DCC LEASE DAY CENTRE (00322822),Amazon Prime,-49.00,Mail Order / Direct Selling,Continuous subscriptions
03/04/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon EU,35.16,Mail Order / Direct Selling,Direct sales companies
03/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),ARGOS LTD,61.37,General Retail and Wholesale,Discount stores
03/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),DEVONDALE ELECTRICAL D,54.00,Building Services,Electrical contractors
03/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,3.00,General Retail and Wholesale,Grocery stores
03/04/2014,DCC BUCKLAND BREWER SCH (00447141),TESCO STORES 6251,16.20,General Retail and Wholesale,Grocery stores
03/04/2014,DCC WHITCHURCH - C 0559309 (00559309),WM MORRISONS,20.00,General Retail and Wholesale,Grocery stores
03/04/2014,DCC - GREEN CLOSE RESIDENT HOM (00379924),GUARDIAN SECURITY,31.42,General Retail and Wholesale,Hardware stores
03/04/2014,DCC - ST ANDREWS PRI 0467693 (00467693),WWW.MUSICLINE-LTD.COM,102.00,Miscellaneous Industrial/Commercial Supplies,Misc business services
03/04/2014,D C C - BIDEFORD COLLEGE (00247481),PREMIER INN44012310,136.25,Hotels and Accommodation,Premier Inn
03/04/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),PAYPAL  COM-ED,46.73,Training and Educational,Primary & secondary school
03/04/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),PAYPAL  COM-ED,57.07,Training and Educational,Primary & secondary school
03/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),CAPITA RECRUITMENT VETTIN,52.10,Professional Services,Professional services
03/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TEXACO PEARCES,5.41,Automotive Fuel,Service stations
03/04/2014,DCC - GREEN CLOSE RESIDENT HOM (00379924),EXETER - MARSH BAR,99.99,Building Materials,Timber & building supplies
04/04/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),WWW.CREALY.CO.UK,81.35,Leisure Activities,Amusement parks & circuses
04/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),Amazon  Mktplce EU-UK,15.49,Books and Periodicals,Book stores
04/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,5.01,Books and Periodicals,Book stores
04/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,-5.59,Books and Periodicals,Book stores
04/04/2014,DCC BOLHAM PRIMARY SCH 0474800 (00474800),Amazon EU,10.78,Mail Order / Direct Selling,Direct sales companies
04/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,46.94,General Retail and Wholesale,Grocery stores
04/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,53.36,General Retail and Wholesale,Grocery stores
04/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),CAPITA RECRUITMENT VETTIN,52.10,Professional Services,Professional services
04/04/2014,DCC - EXETER LEARNING DIS (IH) (00311773),NOCHEX - 0113 344 3996,-8.99,Professional Services,Professional services
04/04/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),W M MORRISON,25.01,Automotive Fuel,Service stations
04/04/2014,DCC-OUR SCH. FED-0467699 (00467699),RATTERY SAWMILLS LTD,206.04,Building Materials,Timber & building supplies
05/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),Amazon  Mktplce EU-UK,16.50,Books and Periodicals,Book stores
05/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),B & M RETAIL,49.90,General Retail and Wholesale,Discount stores
05/04/2014,DCC - ST ANDREWS PRI 0467693 (00467693),DELL PRODUCT,523.80,Computer Equipment & Services,"Programming, data processing & system design"
06/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,5.00,General Retail and Wholesale,Grocery stores
07/04/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,13.98,Books and Periodicals,Book stores
07/04/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,6.49,Books and Periodicals,Book stores
07/04/2014,DCC BOLHAM PRIMARY SCH 0474800 (00474800),Amazon  Mktplce EU-UK,25.29,Books and Periodicals,Book stores
07/04/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,40.00,Travel - Air/Rail/Road,"Buses, charter & tour"
07/04/2014,DCC ST PETERS - C 0559305 (00559305),NATIONAL TRUST MEM,79.50,Clubs/Associations/Organisations,Charitable organisations
07/04/2014,DCC - DAVEY COURT - C 0467695 (00467695),Amazon EU,9.99,Mail Order / Direct Selling,Direct sales companies
07/04/2014,D C C - BIDEFORD COLLEGE (00247481),WWW.THESAFESHOP.CO,38.46,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
07/04/2014,DCC WILLAND SCH-C 0509473 (00509473),LABDON BUILDING SUPPLI,27.94,Building Materials,Timber & building supplies
08/04/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,12.76,Books and Periodicals,Book stores
08/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,4.44,Books and Periodicals,Book stores
08/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),RAKUTEN PLAY.COM,-28.81,Mail Order / Direct Selling,Catalogue sales
08/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,49.52,General Retail and Wholesale,Grocery stores
08/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,84.70,General Retail and Wholesale,Grocery stores
09/04/2014,DCC COURT OF PROTECT-C 0509893 (00509893),TRAVEL ADMINISTRATION,68.58,Financial Services,"Insurance sales, underwritering, premiums"
10/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO PAYAT PUMP 4169,7.24,Automotive Fuel,Automated fuel dispensers
10/04/2014,DCC COMM SERV'S DEVON-TIVERTON (00322820),Amazon  Mktplce EU-UK,27.49,Books and Periodicals,Book stores
10/04/2014,DCC CHARLTON LODGE C0554043 (00554043),WWW 4OURHOUSE CO UK,16.47,Building Materials,Electrical parts & equipment
10/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,36.11,General Retail and Wholesale,Grocery stores
10/04/2014,D C C - BIDEFORD COLLEGE (00247481),JOHN PENNY RESTORA,77.82,Miscellaneous Industrial/Commercial Supplies,Hardware Equipment & Suppliers
10/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  COOLDEALS72,5.99,Telecommunication Services,Phone equipment & sales
10/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),LABDON BUILDING SUPPLI,43.63,Building Materials,Timber & building supplies
11/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,66.07,General Retail and Wholesale,Grocery stores
11/04/2014,DCC - EXETER LEARNING DIS (IH) (00311773),ANGLO BRANDS LTD,29.85,General Retail and Wholesale,Miscellaneous retail
11/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),LABDON BUILDING SUPPLI,20.05,Building Materials,Timber & building supplies
14/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),Amazon  Mktplce EU-UK,11.97,Books and Periodicals,Book stores
14/04/2014,DCC COURT OF PROTECT-C 0509893 (00509893),INDESITCOMPANY,109.99,Building Materials,Electrical parts & equipment
14/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,39.81,General Retail and Wholesale,Grocery stores
14/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TOOLSTATION LTD,61.48,General Retail and Wholesale,Hardware stores
14/04/2014,DCC - EXETER LEARNING DIS (IH) (00311773),WWW.RAINBOWSAFETEY.CO.UK,25.63,General Retail and Wholesale,Miscellaneous retail
14/04/2014,DCC-OUR SCH. FED-0467699 (00467699),THE LONDON EYE,206.30,Leisure Activities,Tourist attractions and exhibitions
15/04/2014,DCC CHARLTON LODGE C0554043 (00554043),WWW 4OURHOUSE CO UK,5.99,Building Materials,Electrical parts & equipment
15/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,95.56,General Retail and Wholesale,Grocery stores
16/04/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),Amazon  Mktplce EU-UK,8.99,Books and Periodicals,Book stores
16/04/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),Amazon  Mktplce EU-UK,12.14,Books and Periodicals,Book stores
16/04/2014,DCC COURT OF PROTECT-C 0509893 (00509893),CULLOMPTON DENTAL,50.50,Medical Supplies and Services,Dentists & orthodontists
16/04/2014,DCC-ROSEBANK DAY-C 0531221 (00531221),ASDA HOME DELIVERY,76.98,General Retail and Wholesale,Grocery stores
17/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,68.08,General Retail and Wholesale,Grocery stores
17/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,21.00,General Retail and Wholesale,Grocery stores
17/04/2014,DCC COURT OF PROTECT-C 0509893 (00509893),WWW.ASTRACAST.CO.UK,431.72,General Retail and Wholesale,Miscellaneous retail
17/04/2014,DCC-HALDON VIEW-0485401 (00485401),STAPLES UK,11.99,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
18/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,84.99,General Retail and Wholesale,Grocery stores
18/04/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),HOMEBASE LTD 226,7.98,Building Materials,Timber & building supplies
19/04/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,11.13,General Retail and Wholesale,Grocery stores
20/04/2014,DCC - LANDSCORE PRIMARY SCH (00313502),"STUDENT AGENCY, K.S. / ZL",20.09,Travel - Air/Rail/Road,"Buses, charter & tour"
20/04/2014,DCC - LANDSCORE PRIMARY SCH (00313502),"STUDENT AGENCY, K.S. / ZL",54.17,Travel - Air/Rail/Road,"Buses, charter & tour"
21/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),ARGOS LTD,99.99,General Retail and Wholesale,Discount stores
21/04/2014,DCC-HALDON VIEW-0485401 (00485401),TESCO STORE 2487,196.16,General Retail and Wholesale,Grocery stores
21/04/2014,DCC BUCKLAND BREWER SCH (00447141),TESCO STORES 6269,23.12,General Retail and Wholesale,Grocery stores
21/04/2014,DCC BUCKLAND BREWER SCH (00447141),TESCO STORES 6269,5.60,General Retail and Wholesale,Grocery stores
21/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),W M MORRISONS,39.63,General Retail and Wholesale,Grocery stores
21/04/2014,DCC WHITCHURCH - C 0559309 (00559309),WM MORRISONS,22.30,General Retail and Wholesale,Grocery stores
22/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,12.93,Books and Periodicals,Book stores
22/04/2014,DCC ST PETERS - C 0559305 (00559305),THE ORIGINAL TOUR,636.00,Travel - Air/Rail/Road,"Buses, charter & tour"
22/04/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),GEOGRAPHICAL ASSOC,46.00,Clubs/Associations/Organisations,Charitable organisations
22/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),WWW.7DAYSHOP.COM,49.97,General Retail and Wholesale,Department stores
22/04/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,101.29,General Retail and Wholesale,Grocery stores
